"filename", "language", "Python", "Properties", "XML", "Ini", "YAML", "pip requirements", "Markdown", "Log", "JavaScript", "Batch", "HTML", "comment", "blank", "total"
"c:\JoystickGremlin-develop\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\JoystickGremlin-develop\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 5
"c:\JoystickGremlin-develop\.qmllint.ini", "Ini", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\JoystickGremlin-develop\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1810, 0, 0, 0, 0, 0, 1002, 2812
"c:\JoystickGremlin-develop\about\about.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\JoystickGremlin-develop\about\joystick_gremlin.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 528, 0, 109, 637
"c:\JoystickGremlin-develop\about\modernuiicons.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 11, 67
"c:\JoystickGremlin-develop\about\pyqt.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 557, 0, 122, 679
"c:\JoystickGremlin-develop\about\pywin32.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 6, 35
"c:\JoystickGremlin-develop\about\qt5.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 37, 169
"c:\JoystickGremlin-develop\about\reportlab.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 34
"c:\JoystickGremlin-develop\about\third_party_licenses.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\JoystickGremlin-develop\about\vjoy.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"c:\JoystickGremlin-develop\action_plugins\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 17
"c:\JoystickGremlin-develop\action_plugins\common.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 17
"c:\JoystickGremlin-develop\action_plugins\control\__init__.py", "Python", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 91, 408
"c:\JoystickGremlin-develop\action_plugins\cycle_modes\__init__.py", "Python", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 101, 343
"c:\JoystickGremlin-develop\action_plugins\description\__init__.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 31, 111
"c:\JoystickGremlin-develop\action_plugins\gated_axis\__init__.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 43, 164
"c:\JoystickGremlin-develop\action_plugins\macro\__init__.py", "Python", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 42, 307
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\macro_add_pause.svg", "XML", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\macro_record.svg", "XML", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\macro_record_on.svg", "XML", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\pause.svg", "XML", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 76
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\press.svg", "XML", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 68
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_axis.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_axis_on.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_button.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_button_on.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_hat.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_hat_on.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_key.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_key_on.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_mouse.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_mouse_on.svg", "XML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\release.svg", "XML", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 68
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\time.svg", "XML", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 107
