"filename", "language", "YAML", "Batch", "Python", "Markdown", "XML", "pip requirements", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"c:\JoystickGremlin-develop\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\JoystickGremlin-develop\.github\workflows\github-actions-docs.yml", "YAML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\JoystickGremlin-develop\README.md", "Markdown", 0, 0, 0, 418, 0, 0, 0, 0, 0, 0, 0, -283, 135
"c:\JoystickGremlin-develop\action_plugins\control\__init__.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 7, 0, 15
"c:\JoystickGremlin-develop\action_plugins\cycle_modes\__init__.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 2, 38
"c:\JoystickGremlin-develop\action_plugins\description\__init__.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 17, 14, 57
"c:\JoystickGremlin-develop\action_plugins\gated_axis\__init__.py", "Python", 0, 0, 1252, 0, 0, 0, 0, 0, 0, 0, 94, 467, 1813
"c:\JoystickGremlin-develop\action_plugins\kvm\__init__.py", "Python", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 71, 122, 490
"c:\JoystickGremlin-develop\action_plugins\macro\__init__.py", "Python", 0, 0, 1548, 0, 0, 0, 0, 0, 0, 0, 201, 447, 2196
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_macro_add_pause.svg", "XML", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 48
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_macro_record.svg", "XML", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 48
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_macro_record_on.svg", "XML", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 48
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_pause.svg", "XML", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 1, 2, 76
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_press.svg", "XML", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 2, 68
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_axis.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_axis_on.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_button.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_button_on.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_hat.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_hat_on.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_key.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_key_on.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_mouse.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_mouse_on.svg", "XML", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 2, 73
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_release.svg", "XML", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 2, 68
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_time.svg", "XML", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 1, 2, 107
"c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_time_on.svg", "XML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 1, 2, 102
"c:\JoystickGremlin-develop\action_plugins\map_to_gamepad\__init__.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 50, -5, 54
"c:\JoystickGremlin-develop\action_plugins\map_to_keyboard\__init__.py", "Python", 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 46, -6, 29
"c:\JoystickGremlin-develop\action_plugins\map_to_keyboard_ex\__init__.py", "Python", 0, 0, 333, 0, 0, 0, 0, 0, 0, 0, 59, 122, 514
"c:\JoystickGremlin-develop\action_plugins\map_to_mouse\__init__.py", "Python", 0, 0, -26, 0, 0, 0, 0, 0, 0, 0, 73, -7, 40
"c:\JoystickGremlin-develop\action_plugins\map_to_mouse_ex\__init__.py", "Python", 0, 0, 320, 0, 0, 0, 0, 0, 0, 0, 83, 124, 527
"c:\JoystickGremlin-develop\action_plugins\map_to_octavi_ifr1\__init__.py", "Python", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 42, 55, 233
