Date : 2026-03-04 14:37:32
Directory : c:\JoystickGremlin-develop
Total : 277 files,  56043 codes, 16340 comments, 21658 blanks, all 94041 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        176 |     34,831 |     15,142 |     12,961 |     62,934 |
| HTML             |         10 |     11,824 |          0 |      6,161 |     17,985 |
| JavaScript       |         37 |      5,143 |      1,180 |        940 |      7,263 |
| Markdown         |         11 |      2,742 |          0 |      1,547 |      4,289 |
| XML              |         27 |      1,383 |         15 |         30 |      1,428 |
| YAML             |          4 |         75 |          0 |          6 |         81 |
| Batch            |          7 |         28 |          0 |         10 |         38 |
| pip requirements |          1 |         13 |          3 |          3 |         19 |
| PostCSS          |          3 |          3 |          0 |          0 |          3 |
| JSON             |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        277 |     56,043 |     16,340 |     21,658 |     94,041 |
| . (Files)                                                                                  |         14 |      1,096 |        454 |        144 |      1,694 |
| .github                                                                                    |          2 |         29 |          0 |          6 |         35 |
| .github (Files)                                                                            |          1 |          0 |          0 |         -1 |         -1 |
| .github\workflows                                                                          |          1 |         29 |          0 |          7 |         36 |
| action_plugins                                                                             |         60 |     11,636 |      1,686 |      3,379 |     16,701 |
| action_plugins\control                                                                     |          1 |          8 |          7 |          0 |         15 |
| action_plugins\cycle_modes                                                                 |          1 |         28 |          8 |          2 |         38 |
| action_plugins\description                                                                 |          1 |         26 |         17 |         14 |         57 |
| action_plugins\gated_axis                                                                  |          1 |      1,252 |         94 |        467 |      1,813 |
| action_plugins\kvm                                                                         |          1 |        297 |         71 |        122 |        490 |
| action_plugins\macro                                                                       |         19 |      2,798 |        216 |        477 |      3,491 |
| action_plugins\macro (Files)                                                               |          1 |      1,548 |        201 |        447 |      2,196 |
| action_plugins\macro\gfx                                                                   |         18 |      1,250 |         15 |         30 |      1,295 |
| action_plugins\map_to_gamepad                                                              |          1 |          9 |         50 |         -5 |         54 |
| action_plugins\map_to_keyboard                                                             |          1 |        -11 |         46 |         -6 |         29 |
| action_plugins\map_to_keyboard_ex                                                          |          1 |        333 |         59 |        122 |        514 |
| action_plugins\map_to_mouse                                                                |          1 |        -26 |         73 |         -7 |         40 |
| action_plugins\map_to_mouse_ex                                                             |          1 |        320 |         83 |        124 |        527 |
| action_plugins\map_to_octavi_ifr1                                                          |          1 |        136 |         42 |         55 |        233 |
| action_plugins\map_to_osc                                                                  |          1 |        117 |         57 |         41 |        215 |
| action_plugins\map_to_osc_ex                                                               |          1 |      1,294 |        110 |        394 |      1,798 |
| action_plugins\map_to_simconnect                                                           |          8 |        999 |        210 |        333 |      1,542 |
| action_plugins\map_to_simconnect (Files)                                                   |          2 |        826 |        163 |        291 |      1,280 |
| action_plugins\map_to_simconnect\SimConnect                                                |          6 |        173 |         47 |         42 |        262 |
| action_plugins\map_to_state                                                                |          1 |        919 |         92 |        318 |      1,329 |
| action_plugins\map_to_trigger                                                              |          1 |        358 |         15 |        127 |        500 |
| action_plugins\map_to_vjoy                                                                 |          1 |      2,068 |        200 |        703 |      2,971 |
| action_plugins\merged_axis                                                                 |          1 |       -447 |        -57 |       -195 |       -699 |
| action_plugins\noop                                                                        |          1 |          1 |          4 |         -1 |          4 |
| action_plugins\os_actions                                                                  |          1 |        297 |         26 |        103 |        426 |
| action_plugins\pause                                                                       |          1 |         11 |          4 |         -1 |         14 |
| action_plugins\play_sound                                                                  |          1 |        652 |         43 |        201 |        896 |
| action_plugins\previous_mode                                                               |          1 |          6 |          3 |          0 |          9 |
| action_plugins\remap                                                                       |          1 |         49 |         33 |         10 |         92 |
| action_plugins\response_curve                                                              |          1 |       -191 |        299 |        -49 |         59 |
| action_plugins\response_curve_ex                                                           |          1 |          8 |         35 |          4 |         47 |
| action_plugins\resume                                                                      |          1 |          6 |          4 |         -1 |          9 |
| action_plugins\run_process                                                                 |          1 |         21 |          7 |         -1 |         27 |
| action_plugins\split_axis                                                                  |          1 |        -18 |         28 |         -5 |          5 |
| action_plugins\switch_mode                                                                 |          1 |         91 |         18 |         43 |        152 |
| action_plugins\system                                                                      |          1 |          0 |       -210 |        -80 |       -290 |
| action_plugins\temporary_mode_switch                                                       |          1 |        110 |          0 |         44 |        154 |
| action_plugins\text_to_speech                                                              |          1 |        107 |         -4 |         25 |        128 |
| action_plugins\toggle_pause                                                                |          1 |          8 |          3 |          1 |         12 |
| container_plugins                                                                          |         15 |      2,081 |      1,027 |        866 |      3,974 |
| container_plugins\basic                                                                    |          1 |        -11 |         45 |          7 |         41 |
| container_plugins\button                                                                   |          1 |         45 |         57 |         28 |        130 |
| container_plugins\chain                                                                    |          1 |        -18 |         46 |         -3 |         25 |
| container_plugins\double_tap                                                               |          1 |        -34 |         69 |         -4 |         31 |
| container_plugins\hat_buttons                                                              |          1 |         32 |         88 |         52 |        172 |
| container_plugins\range                                                                    |          1 |        -19 |         38 |        -14 |          5 |
| container_plugins\repeat                                                                   |          1 |        317 |         77 |        122 |        516 |
| container_plugins\sequence                                                                 |          1 |        826 |         92 |        296 |      1,214 |
| container_plugins\smart_toggle                                                             |          1 |         40 |         57 |         18 |        115 |
| container_plugins\state                                                                    |          1 |        250 |         79 |         84 |        413 |
| container_plugins\switch                                                                   |          1 |        -26 |         46 |        -10 |         10 |
| container_plugins\tempo                                                                    |          1 |         12 |         72 |         23 |        107 |
| container_plugins\tempoEx                                                                  |          1 |        400 |        117 |        165 |        682 |
| container_plugins\tick                                                                     |          1 |        -20 |         67 |        -14 |         33 |
| container_plugins\trigger                                                                  |          1 |        287 |         77 |        116 |        480 |
| dinput                                                                                     |          1 |        -32 |        276 |         31 |        275 |
| docs                                                                                       |         11 |      2,316 |          0 |      1,821 |      4,137 |
| docs (Files)                                                                               |          9 |      2,314 |          0 |      1,821 |      4,135 |
| docs\assets                                                                                |          2 |          2 |          0 |          0 |          2 |
| gfx                                                                                        |          4 |         90 |          0 |          0 |         90 |
| gremlin                                                                                    |         87 |     22,162 |     10,199 |      8,297 |     40,658 |
| gremlin (Files)                                                                            |         56 |     10,138 |      5,387 |      3,664 |     19,189 |
| gremlin\ui                                                                                 |         31 |     12,024 |      4,812 |      4,633 |     21,469 |
| qt5reactor                                                                                 |          5 |        556 |        307 |        144 |      1,007 |
| qt5reactor (Files)                                                                         |          3 |        547 |        307 |        137 |        991 |
| qt5reactor\tests                                                                           |          2 |          9 |          0 |          7 |         16 |
| scripts                                                                                    |          2 |       -397 |        497 |        -96 |          4 |
| site                                                                                       |         54 |     17,012 |      1,180 |      7,101 |     25,293 |
| site (Files)                                                                               |          3 |        866 |          0 |        938 |      1,804 |
| site\actions                                                                               |          1 |      1,785 |          0 |        682 |      2,467 |
| site\assets                                                                                |         42 |      5,148 |      1,180 |        940 |      7,268 |
| site\assets (Files)                                                                        |          2 |          2 |          0 |          0 |          2 |
| site\assets\javascripts                                                                    |         37 |      5,143 |      1,180 |        940 |      7,263 |
| site\assets\javascripts (Files)                                                            |          2 |         15 |          1 |          3 |         19 |
| site\assets\javascripts\lunr                                                               |         34 |      5,090 |      1,176 |        935 |      7,201 |
| site\assets\javascripts\lunr (Files)                                                       |          2 |      5,058 |        936 |        920 |      6,914 |
| site\assets\javascripts\lunr\min                                                           |         32 |         32 |        240 |         15 |        287 |
| site\assets\javascripts\workers                                                            |          1 |         38 |          3 |          2 |         43 |
| site\assets\stylesheets                                                                    |          3 |          3 |          0 |          0 |          3 |
| site\containers                                                                            |          1 |        497 |          0 |        498 |        995 |
| site\credits                                                                               |          1 |        283 |          0 |        445 |        728 |
| site\ktts                                                                                  |          1 |        448 |          0 |        479 |        927 |
| site\overview                                                                              |          1 |      1,588 |          0 |        694 |      2,282 |
| site\resources                                                                             |          1 |        477 |          0 |        506 |        983 |
| site\scripting                                                                             |          1 |        552 |          0 |        525 |      1,077 |
| site\search                                                                                |          1 |          1 |          0 |          0 |          1 |
| site\usage                                                                                 |          1 |      5,367 |          0 |      1,394 |      6,761 |
| test                                                                                       |         17 |          2 |          8 |         -2 |          8 |
| vigem                                                                                      |          3 |       -408 |        449 |        -39 |          2 |
| vjoy                                                                                       |          2 |       -100 |        257 |          6 |        163 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                   | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\JoystickGremlin-develop\.github\FUNDING.yml                                             | YAML             |          0 |          0 |         -1 |         -1 |
| c:\JoystickGremlin-develop\.github\workflows\github-actions-docs.yml                       | YAML             |         29 |          0 |          7 |         36 |
| c:\JoystickGremlin-develop\README.md                                                       | Markdown         |        418 |          0 |       -283 |        135 |
| c:\JoystickGremlin-develop\action_plugins\control\__init__.py                              | Python           |          8 |          7 |          0 |         15 |
