"filename", "language", "YAML", "Dotenv", "Python", "XML", "Markdown", "pip requirements", "HTML", "JavaScript", "Batch", "JSON", "Log", "PostCSS", "Ini", "comment", "blank", "total"
"c:\JoystickGremlin-develop\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\JoystickGremlin-develop\.github\FUNDING.yml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\JoystickGremlin-develop\.github\workflows\github-actions-docs.yml", "YAML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\JoystickGremlin-develop\.qmllint.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\JoystickGremlin-develop\README.md", "Markdown", 0, 0, 0, 0, 2228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 719, 2947
"c:\JoystickGremlin-develop\about\about.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\JoystickGremlin-develop\about\joystick_gremlin.html", "HTML", 0, 0, 0, 0, 0, 0, 528, 0, 0, 0, 0, 0, 0, 0, 109, 637
"c:\JoystickGremlin-develop\about\modernuiicons.html", "HTML", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 11, 67
"c:\JoystickGremlin-develop\about\pyqt.html", "HTML", 0, 0, 0, 0, 0, 0, 557, 0, 0, 0, 0, 0, 0, 0, 122, 679
"c:\JoystickGremlin-develop\about\pywin32.html", "HTML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\JoystickGremlin-develop\about\qt5.html", "HTML", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 37, 169
"c:\JoystickGremlin-develop\about\reportlab.html", "HTML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\JoystickGremlin-develop\about\third_party_licenses.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\JoystickGremlin-develop\about\vjoy.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\JoystickGremlin-develop\action_plugins\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 17
"c:\JoystickGremlin-develop\action_plugins\common.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 17
"c:\JoystickGremlin-develop\action_plugins\control\__init__.py", "Python", 0, 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 91, 423
"c:\JoystickGremlin-develop\action_plugins\cycle_modes\__init__.py", "Python", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 103, 381
"c:\JoystickGremlin-develop\action_plugins\description\__init__.py", "Python", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 45, 168
"c:\JoystickGremlin-develop\action_plugins\gated_axis\__init__.py", "Python", 0, 0, 1351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 510, 1977
"c:\JoystickGremlin-develop\action_plugins\kvm\__init__.py", "Python", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 122, 490
"c:\JoystickGremlin-develop\action_plugins\macro\__init__.py", "Python", 0, 0, 1787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 489, 2503
